label,message,clean_message
0,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,lol nah wasnt bad thanks good b home quite reality check hows ur day u anything website
0,My phone,phone
0,K..i deleted my contact that why?,ki deleted contact
0,Nan sonathaya soladha. Why boss?,nan sonathaya soladha bos
0,"Aldrine, rakhesh ex RTM here.pls call.urgent.",aldrine rakhesh ex rtm herepls callurgent
0,"Yes but i dont care! I need you bad, princess!",yes dont care need bad princess
0,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
1,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,free camera phone linerental month cross ntwk min price txt bundle deal also avble call calloptoutj mf
1,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,join uk horniest dogging service u sex nite sign follow instruction txt entry
0,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
0,Hey come online! Use msn... We are all there,hey come online use msn
0,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.,cant wait cornwall hope tonight isnt bad well rock night shite anyway im going kip good night speak soon
0,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,pls give food preferably pap slowly load sugar take hour give water slowly
0,"Some friends want me to drive em someplace, probably take a while",friend want drive em someplace probably take
0,S.i'm watching it in live..,sim watching live
0,Beerage?,beerage
0,I;m reaching in another 2 stops.,im reaching another stop
0,Send me yetty's number pls.,send yettys number pls
1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,sport fan get latest sport news str ur mobile wk free plus free tone txt sport norm txtp
0,Re your call; You didn't see my facebook huh?,call didnt see facebook huh
0,Spoons it is then okay?,spoon okay
0,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,watching tv lor funny bluff wat izzit thk impossible u
0,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",yun ahthe ubi one say wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysn
0,Take us out shopping and Mark will distract Isaiah.=D,take u shopping mark distract isaiahd
0,Just come home. I don't want u to be miserable,come home dont want u miserable
0,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,waiting tv show start lor u leh still busy ur report
0,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",sir hope day going smoothly really hoped wont bother bill cant settle month extra cash know challenging time also let know
0,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,think one saying clearly ok leave need ask go come
0,Lmao!nice 1,lmaonice
0,Jay is snickering and tells me that x is totally fucking up the chords as we speak,jay snickering tell x totally fucking chord speak
0,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,babe miiiiiiissssssssss need crave geeee im sad without babe love
0,Ok i've sent u da latest version of da project.,ok ive sent u da latest version da project
0,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",yo carlos friend already asking working weekend
1,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,freemsg today day ready im horny live town love sex fun game netcollex ltd p per msg reply stop end
0,Do you like Italian food?,like italian food
0,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),sfrom training manual show tech processits password reset troubleshooting
0,They don't put that stuff on the roads to keep it from getting slippery over there?,dont put stuff road keep getting slippery
0,No did you check? I got his detailed message now,check got detailed message
0,No dear i was sleeping :-P,dear sleeping p
0,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",yeh def something satjust got payedday havbeen given pay rise work havebeen made preschoolcoordinator feelingood luv
1,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,valentine day special win quiz take partner trip lifetime send go pmsg rcvd custcare
0,I don't know but I'm raping dudes at poker,dont know im raping dude poker
0,I have printed it oh. So  &lt;#&gt;  come upstairs,printed oh ltgt come upstairs
1,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",flirting txt girl bloke ur name age eg girl zoe join get chatting
0,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
1,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,urgent trying contact u today draw show prize guaranteed call land line claim c validhrs
0,I didnt get anything da,didnt get anything da
0,Compliments to you. Was away from the system. How your side.,compliment away system side
0,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,ride equally uneventful many pesky cyclist around time night
0,Thanx a lot 4 ur help!,thanx lot ur help
0,Hasn't that been the pattern recently crap weekends?,hasnt pattern recently crap weekend
0,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",good good billy mate gone jogging enjoy concert
0,Are you angry with me. What happen dear,angry happen dear
0,Me too baby! I promise to treat you well! I bet you will take good care of me...,baby promise treat well bet take good care
1,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,nokia get win free auction take part send nokia hgsuitelands rowwjhl
0,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",swhrt u deyhope ur ok tot u daylove n misstake care
0,Kallis wont bat in 2nd innings.,kallis wont bat nd inning
0,If I get there before you after your ten billion calls and texts so help me god,get ten billion call text help god
0,Tell where you reached,tell reached
0,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,gain right wifedont demand iti trying husband toolets see
0,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,started dont stop pray good idea anything see help guy ill forward link
0,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),dahe stupid daalways sending like thisdon believe messagepandy mental
0,Where u been hiding stranger?,u hiding stranger
1,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,tried contact response offer new nokia fone camcorder hit reply call delivery
0,Right it wasnt you who phoned it was someone with a number like yours!,right wasnt phoned someone number like
0,Is that seriously how you spell his name?,seriously spell name
0,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",tick tick tick could die loneliness know pout stomp foot need
0,You've always been the brainy one.,youve always brainy one
0,Now am free call me pa.,free call pa
0,I accidentally brought em home in the box,accidentally brought em home box
0,Am not interested to do like that.,interested like
0,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,nothing jus tot u would ask co u ba gua went mt faber yest yest jus went already mah today going jus call lor
0,Ok i am on the way to home hi hi,ok way home hi hi
0,"Call me, i am senthil from hsbc.",call senthil hsbc
0,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",dearme cherthalain case u r coming cochin pls call bfore u starti shall also reach accordinglyor tell day u r comingtmorow engaged an holiday
0,Hi kindly give us back our documents which we submitted for loan from STAPATI,hi kindly give u back document submitted loan stapati
0,Finally the match heading towards draw as your prediction.,finally match heading towards draw prediction
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,im ok wif co like try new thing scared u dun like mah co u said loud
0,Yes. Rent is very expensive so its the way we save.,yes rent expensive way save
0,What's up. Do you want me to come online?,whats want come online
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile month u r entitled update latest colour mobile camera free call mobile update co free
0,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",sea lay rock rock envelope envelope paper paper word
0,"Sorry, I'll call later  &lt;#&gt; mins",sorry ill call later ltgt min
0,"I'll get there at 3, unless you guys want me to come some time sooner",ill get unless guy want come time sooner
0,Hui xin is in da lib.,hui xin da lib
1,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,link picture sent also use
0,No problem baby. Is this is a good time to talk? I called and left a message.,problem baby good time talk called left message
0,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense
0,Watching ajith film ah?,watching ajith film ah
0,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ok ill send ltdecimalgt ok
0,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,im boat still mom check yo im half naked
0,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,dont look back building coat dont want get sick hurry home wear coat gym
0,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,omg make wedding chapel frontierville get good stuff
1,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck.",auction round highest bid next maximum bid bid send bid e g bid good luck
0,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",oh get paid outstanding one commercial hasbroin august made u jump many hoop get paid still
0,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,baaaaaaaabe wake miss crave need
0,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,dont go tell friend youre sure want live smoke much spend hour begging come smoke
0,Also maaaan are you missing out,also maaaan missing
0,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,im school n ill da lab stuff give call r done
0,Also remember the beads don't come off. Ever.,also remember bead dont come ever
0,"Are you sure you don't mean ""get here, we made you hold all the weed""",sure dont mean get made hold weed
1,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",hi ya babe x u goten bout scammer getting smartthough regular vodafone respond get prem rate msgsubscription no used also beware
0,Yup. Thk of u oso boring wat.,yup thk u oso boring wat
0,Wanna do some art?! :D,wan na art
0,Oops. 4 got that bit.,oops got bit
0,"Could you not read me, my Love ? I answered you",could read love answered
0,Will do. Have a good day,good day
0,I'm always looking for an excuse to be in the city.,im always looking excuse city
0,That's cause your old. I live to be high.,thats cause old live high
0,Ü dun need to pick ur gf?,dun need pick ur gf
0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,there ring come guy costume gift future yowifes hint hint
0,* Am on a train back from northampton so i'm afraid not!,train back northampton im afraid
0,"Yeah, probably earlier than that",yeah probably earlier
0,"Almost there, see u in a sec",almost see u sec
0,"Sir, waiting for your letter.",sir waiting letter
0,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,dunno lei decide lor abt leona oops tot ben going n msg
0,That's a shame! Maybe cld meet for few hrs tomo?,thats shame maybe cld meet hr tomo
0,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,mean february april ill getting place stay dont hustle back forth audition season since sister moved away harlem
0,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,finish already yar keep saying mushy embarrassed ok
0,No. Yes please. Been swimming?,yes please swimming
0,Ding me on ya break fassyole! Blacko from londn,ding ya break fassyole blacko londn
0,I can ask around but there's not a lot in terms of mids up here,ask around there lot term mids
0,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",wishing family merry x ma happy new year advance
0,You made my day. Do have a great day too.,made day great day
0,I will come tomorrow di,come tomorrow di
0,I know you are serving. I mean what are you doing now.,know serving mean
0,"Sir Goodmorning, Once free call me.",sir goodmorning free call
0,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",good afternoon love good see word ym get tm smart move slave smile drink coffee await
0,Ü neva tell me how i noe... I'm not at home in da aft wat... ,neva tell noe im home da aft wat
1,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xmas free text message new video phone half price line rental call free find
0,Ok then i come n pick u at engin?,ok come n pick u engin
0,I went to project centre,went project centre
0,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",sorry lot friendofafriend stuff im talk actual guy want buy
0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
0,Then u go back urself lor...,u go back urself lor
0,Omg how did u know what I ate?,omg u know ate
0,Dude how do you like the buff wind.,dude like buff wind
0,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
0,"I noe la... U wana pei bf oso rite... K lor, other days den...",noe la u wana pei bf oso rite k lor day den
0,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,sorry c ur msg yar lor poor thing one night tmr ull brand new room sleep
0,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u,u havent lost ill always b ui didnt intend hurt u never knew u felt iwasmarinethats itriedtell urmomi careabout u
0,Ew are you one of them?,ew one
0,Wat would u like 4 ur birthday?,wat would u like ur birthday
0,"K I'm leaving soon, be there a little after 9",k im leaving soon little
0,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,sitting mu waiting everyone get suite take shower
1,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",winner guaranteed caller prize final attempt contact claim call ppmpoboxbhambxe
0,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,hi birth lb oz mother baby brilliantly
0,Aight sorry I take ten years to shower. What's the plan?,aight sorry take ten year shower whats plan
0,"K I'll head out in a few mins, see you there",k ill head min see
0,"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8",dont think u got think use got good ni
0,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,lol yep yesterday already got fireplace another icon sitting
0,One small prestige problem now.,one small prestige problem
0,Mum not going robinson already.,mum going robinson already
0,Is there coming friday is leave for pongal?do you get any news from your work place.,coming friday leave pongaldo get news work place
0,"Better than bb. If he wont use it, his wife will or them doctor",better bb wont use wife doctor
0,Did u see what I posted on your Facebook?,u see posted facebook
0,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,hcl chennai requires fresher voice processexcellent english neededsalary upto ltgt call mssuman ltgt telephonic interview via indyarockscom
0,Gettin rdy to ship comp,gettin rdy ship comp
0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",guy car shop flirting got phone number paperwork called texted im nervous course may address call bos tell knowing may get fired
0,"Haha, my friend tyler literally just asked if you could get him a dubsack",haha friend tyler literally asked could get dubsack
0,Hmmm.still we dont have opener?,hmmmstill dont opener
0,Thanks chikku..:-) gud nyt:-*,thanks chikku gud nyt
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
0,Already one guy loving you:-.,already one guy loving
0,Give me a sec to think think about it,give sec think think
0,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",cool shall go see go tip anyway home got something drop later let go town tonight maybe mum take u
1,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",urgent mobile xxxxxxxxx bonus caller prize nd attempt reach call asap
0,I'm okay. Chasing the dream. What's good. What are you doing next.,im okay chasing dream whats good next
0,WOT U WANNA DO THEN MISSY?,wot u wan na missy
0,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,dip cell dead coming u better respond else shall come back
0,Have you not finished work yet or something?,finished work yet something
0,Rofl. Its true to its name,rofl true name
0,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",get class bsn like ltgt minute know advising
0,K then 2marrow are you coming to class.,k marrow coming class
0,Mathews or tait or edwards or anderson,mathews tait edward anderson
1,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry weekly comp chance win ipod txt pod get entry std txt rate tc apply detail
0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",housemaid murderer coz man murdered ltgt th january public holiday govtinstituitions closedincluding post office
0,"Goodmorning,my grandfather expired..so am on leave today.",goodmorningmy grandfather expiredso leave today
0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,leaving yet ok lor go elsewhere n eat u thk
0,"Aight, I'll text you when I'm back",aight ill text im back
0,All e best 4 ur driving tmr :-),e best ur driving tmr
0,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,check maili mailed varma kept copy regarding membershiptake careinsha allah
0,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,hiya hows going sunny africa hope u r avin good time give big old silver back big kiss
0,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",solve case man found murdered ltdecimalgt ltgt afternoon wife called police police questioned everyone wife siri sleeping murder took place cook cooking gardener picking vegetable housemaid went post office child went play neighbour went marriage police arrested murderer immediately who reply reason u r brilliant
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx
0,Yo dude guess who just got arrested the other day,yo dude guess got arrested day
0,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,got room soon hadnt put clock back til shouted everyone get realised wahay another hour bed
0,"Lets use it next week, princess :)",let use next week princess
1,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",urgent call landline complimentary tenerife holiday cash await collection sae tc box hp yf ppm
0,it's really getting me down just hanging around.,really getting hanging around
0,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,valentine game send dis msg ur friend answer r someone really love u ques colour suit bestrply
0,"Oh, then your phone phoned me but it disconnected",oh phone phoned disconnected
0,Thats cool princess! I will cover your face in hot sticky cum :),thats cool princess cover face hot sticky cum
0,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,dare stupid wont tell anything hear wont talk
0,"My planning usually stops at ""find hella weed, smoke hella weed""",planning usually stop find hella weed smoke hella weed
1,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,private account statement show unredeemed bonus point claim call identifier code expires
0,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,eh ur laptop got stock lei say mon muz come take look c got
0,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,im coming back thursday yay gon na ok get money cheer oh yeah everything alright hows school call work
0,I'm in office now . I will call you  &lt;#&gt;  min:),im office call ltgt min
0,Remember to ask alex about his pizza,remember ask alex pizza
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe forgot surname mr ill give u clue spanish begin
0,Still in customer place,still customer place
0,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",mmmmmm love youso much ahmad cant wait year begin every second take closer side happy new year love
0,"alright, I'll make sure the car is back tonight",alright ill make sure car back tonight
0,Are you available for soiree on June 3rd?,available soiree june rd
0,Ok then i will come to ur home after half an hour,ok come ur home half hour
0,Thx. All will be well in a few months,thx well month
0,No problem. How are you doing?,problem
0,"Haha good to hear, I'm officially paid and on the market for an 8th",haha good hear im officially paid market th
0,Oi when you gonna ring,oi gon na ring
0,K do I need a login or anything,k need login anything
0,Great. P diddy is my neighbor and comes for toothpaste every morning,great p diddy neighbor come toothpaste every morning
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spook mob halloween collection logo pic message plus free eerie tone txt card spook zed p per logopic
0,Hows the pain dear?y r u smiling?,hows pain deary r u smiling
0,"Just looked it up and addie goes back Monday, sucks to be her",looked addie go back monday suck
0,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,hey dont forget mine possession property mmm childish smile
0,S:)8 min to go for lunch:),min go lunch
0,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,he adult would learn experience there real danger dont like peep using drug dont need comment
0,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,oh shut omg yesterday dream kid boy pissed kid boy even told mark dream changing diaper cause im getting owed face
1,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,mobile mths update free orange latest colour camera mobile unlimited weekend call call mobile upd freefone stoptx
0,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,e admin building might b slightly earlier ill call u im reaching
0,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",make time tonight whenever cool text whenever youre around
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find th august
0,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,yup havent want go yoga call book
0,"Me, i dont know again oh",dont know oh
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lturlgt
0,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,also thk fast xy suggest one u dun wan ok going rain leh got gd
0,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,stomach thru much trauma swear cant eat better lose weight
1,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",reminder get pound free call credit detail great offer pls reply text valid name house postcode
